id,type,youtube_id,title,author,author_url,category,organism,description,thumbnail_url,url,tags,series_name,accession,frames,cadence_seconds,irods_path,video_url
vid-yt-01,youtube,DOhR85UD-HE,Brachypodium 360° View,Richard Poiré,https://www.youtube.com/@RichardPoir%C3%A9,Brachypodium Morphology,Brachypodium distachyon,"High-resolution 360-degree rotational optical scan of Brachypodium distachyon mature canopy architecture, tillering morphology, and leaf angle distribution.",https://i.ytimg.com/vi/DOhR85UD-HE/hqdefault.jpg,https://www.youtube.com/watch?v=DOhR85UD-HE,Brachypodium; Morphology; 360 View; Canopy; Phenomics,,,,,,
vid-yt-02,youtube,7ilLAd4-phY,Clinostat Simulated Microgravity Assay,sathish sre,https://www.youtube.com/@sathishsre4914,Clinostat / Microgravity,Plant Biology / Ground Analogue,2D Clinostat experimental hardware operation. Omnilateral continuous rotation at constant RPM disperses unidirectional gravity vectors to simulate spaceflight microgravity in laboratory settings.,https://i.ytimg.com/vi/7ilLAd4-phY/hqdefault.jpg,https://www.youtube.com/watch?v=7ilLAd4-phY,Clinostat; Microgravity; Hardware; Ground Analogue; Rotation,,,,,,
vid-yt-03,youtube,YIqCwYKDBqA,"WT Arabidopsis Root Gravitropism Time-lapse (15 min interval, 10 fps)",Dr. Richard Barker,https://www.youtube.com/@DrRichardBarker,Gravitropism Assays,Arabidopsis thaliana / Comparative Model,"Optical time-lapse capture of root tip gravitropic reorientation following 90-degree reorientation. Frames acquired every 15 minutes at 10 fps, illustrating statolith displacement and asymmetric auxin kinetics.",https://i.ytimg.com/vi/YIqCwYKDBqA/hqdefault.jpg,https://www.youtube.com/watch?v=YIqCwYKDBqA,Gravitropism; Time-lapse; Auxin; Root Curvature; Astrobotany,,,,,,
cyverse-brachy-per1-1,cyverse,,Brachypodium Per1 Accession - Series 1.1,Dr. Richard Barker (CyVerse / iRODS),,CyVerse Time-Lapses,Brachypodium distachyon,High-contrast enhanced time-lapse series of Brachypodium distachyon Per1 accession root gravitropic kinematics extracted from CyVerse Data Store.,assets/fig1_gravitropic_kinetics.png,,CyVerse; Per1; Brachypodium; Time-lapse; iRODS,Brachy_Enhanced_Per1_DB_1_1,Per1,84.0,15.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_1_1,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_Per1_DB_1_1/timelapse.mp4
cyverse-brachy-per1-2,cyverse,,Brachypodium Per1 Accession - Series 2.3,Dr. Richard Barker (CyVerse / iRODS),,CyVerse Time-Lapses,Brachypodium distachyon,Replicate time-lapse series of Brachypodium distachyon Per1 accession root growth under controlled gravistimulation.,assets/fig1_gravitropic_kinetics.png,,CyVerse; Per1; Brachypodium; Time-lapse; iRODS,Brachy_Enhanced_Per1_DB_2_3,Per1,84.0,15.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_2_3,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_Per1_DB_2_3/timelapse.mp4
cyverse-brachy-per1-3,cyverse,,Brachypodium Per1 Accession - Series 3.2,Dr. Richard Barker (CyVerse / iRODS),,CyVerse Time-Lapses,Brachypodium distachyon,Gravitropic reorientation series for Brachypodium distachyon accession Per1.,assets/fig1_gravitropic_kinetics.png,,CyVerse; Per1; Brachypodium; Time-lapse; iRODS,Brachy_Enhanced_Per1_DB_3_2,Per1,83.0,15.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_3_2,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_Per1_DB_3_2/timelapse.mp4
cyverse-brachy-tr7a-1,cyverse,,Brachypodium TR7a Accession - Series 1.3,Dr. Richard Barker (CyVerse / iRODS),,CyVerse Time-Lapses,Brachypodium distachyon,High-contrast time-lapse capture of Brachypodium distachyon Turkish accession BdTR7a during gravitropic curvature.,assets/fig1_gravitropic_kinetics.png,,CyVerse; BdTR7a; Brachypodium; Turkish Diversity; iRODS,Brachy_Enhanced_TR7a_DB_1_3,BdTR7a,83.0,15.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_TR7a_DB_1_3,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_TR7a_DB_1_3/timelapse.mp4
cyverse-brachy-tr7a-2,cyverse,,Brachypodium TR7a Accession - Series 2.2,Dr. Richard Barker (CyVerse / iRODS),,CyVerse Time-Lapses,Brachypodium distachyon,Replicate kinematic series of Brachypodium distachyon accession BdTR7a.,assets/fig1_gravitropic_kinetics.png,,CyVerse; BdTR7a; Brachypodium; Turkish Diversity; iRODS,Brachy_Enhanced_TR7a_DB_2_2,BdTR7a,84.0,15.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_TR7a_DB_2_2,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_TR7a_DB_2_2/timelapse.mp4
cyverse-flashlapse-straight,cyverse,,FlashLapse Straight Growth Baseline Control,Dr. Richard Barker (CyVerse / iRODS),,Gravitropism Assays,Pisum sativum / Model Seedling,High-frequency 612-frame straight vertical growth baseline capture for kinematic calibration.,assets/fig1_gravitropic_kinetics.png,,FlashLapse; Baseline; Control; Calibration,FlashLapse_Straight_growth,,612.0,15.0,/iplant/home/dr_richard_barker/timelapse_extract/FlashLapse_Straight_growth,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/FlashLapse_Straight_growth/timelapse.mp4
sim-90deg-reorientation,simulator,,90° Gravistimulation Kinetic Reorientation Simulator,AstroGrass Modeling Engine,,Interactive Simulators,Brachypodium distachyon,Real-time HTML5 Canvas biophysical simulation of monocot root columella bending from 0° to 42° following a 90° gravistimulation vector shift.,assets/fig5_mechanistic_model.png,,Simulator; Kinematics; 1g; Interactive; Canvas,,,,,,
sim-2d-clinostat,simulator,,2D Clinostat Omnilateral Rotation Simulator (1.0 RPM),AstroGrass Modeling Engine,,Interactive Simulators,Plant Biology / Ground Analogue,Interactive rotational simulation modeling the dispersion of gravitational sedimentation vectors during 1.0 RPM clinorotation.,assets/fig5_mechanistic_model.png,,Simulator; Clinostat; RPM; Microgravity; Interactive,,,,,,
